"id","value","category","description"
1,(* ^ ω ^),joy,""
2,(´ ∀ ` *),joy,""
3,"٩(◕‿◕｡)۶",joy,""
4,☆*:.｡.o(≧▽≦)o.｡.:*☆,joy,""
5,(o^▽^o),joy,""
6,(⌒▽⌒)☆,joy,""
7,<(￣︶￣)>,joy,""
8,。.:☆*:･'(*⌒―⌒*))),joy,""
9,ヽ(・∀・)ﾉ,joy,""
10,(´｡• ω •｡`),joy,""
11,(￣ω￣),joy,""
12,｀;:゛;｀;･(°ε° ),joy,""
13,(o･ω･o),joy,""
14,(＠＾◡＾),joy,""
15,ヽ(*・ω・)ﾉ,joy,""
16,(o_ _)ﾉ彡☆,joy,""
17,(^人^),joy,""
18,(o´▽`o),joy,""
19,(*´▽`*),joy,""
20,｡ﾟ( ﾟ^∀^ﾟ)ﾟ｡,joy,""
21,( ´ ω ` ),joy,""
22,(((o(*°▽°*)o))),joy,""
23,(≧◡≦),joy,""
24,(o´∀`o),joy,""
25,(´• ω •`),joy,""
26,(＾▽＾),joy,""
27,(⌒ω⌒),joy,""
28,∑d(°∀°d),joy,""
29,╰(▔∀▔)╯,joy,""
30,(─‿‿─),joy,""
31,(*^‿^*),joy,""
32,ヽ(o^ ^o)ﾉ,joy,""
33,(✯◡✯),joy,""
34,(◕‿◕),joy,""
35,(*≧ω≦*),joy,""
36,(☆▽☆),joy,""
37,(⌒‿⌒),joy,""
38,＼(≧▽≦)／,joy,""
39,ヽ(o＾▽＾o)ノ,joy,""
40,☆ ～('▽^人),joy,""
41,(*°▽°*),joy,""
42,"٩(｡•́‿•̀｡)۶",joy,""
43,(✧ω✧),joy,""
44,ヽ(*⌒▽⌒*)ﾉ,joy,""
45,(´｡• ᵕ •｡`),joy,""
46,( ´ ▽ ` ),joy,""
47,(￣▽￣),joy,""
48,╰(*´︶`*)╯,joy,""
49,ヽ(>∀<☆)ノ,joy,""
50,o(≧▽≦)o,joy,""
51,(☆ω☆),joy,""
52,(っ˘ω˘ς ),joy,""
53,＼(￣▽￣)／,joy,""
54,(*¯︶¯*),joy,""
55,＼(＾▽＾)／,joy,""
56,"٩(◕‿◕)۶",joy,""
57,(o˘◡˘o),joy,""
58,(★ω★)/,joy,""
59,(^ヮ^)/,joy,""
60,(〃＾▽＾〃),joy,""
61,(╯✧▽✧)╯,joy,""
62,o(>ω<)o,joy,""
63,o( ❛ᴗ❛ )o,joy,""
64,｡ﾟ(TヮT)ﾟ｡,joy,""
65,( ‾́ ◡ ‾́ ),joy,""
66,(ﾉ´ヮ`)ﾉ*: ･ﾟ,joy,""
67,(b ᵔ▽ᵔ)b,joy,""
68,(๑˃ᴗ˂)ﻭ,joy,""
69,(๑˘︶˘๑),joy,""
70,( ˙꒳​˙ ),joy,""
71,(*꒦ິ꒳꒦ີ),joy,""
72,°˖✧◝(⁰▿⁰)◜✧˖°,joy,""
73,(´･ᴗ･ ` ),joy,""
74,(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧,joy,""
75,(„• ֊ •„),joy,""
76,(.❛ ᴗ ❛.),joy,""
77,(⁀ᗢ⁀),joy,""
78,(￢‿￢ ),joy,""
79,(¬‿¬ ),joy,""
80,(*￣▽￣)b,joy,""
81,( ˙▿˙ ),joy,""
82,(¯▿¯),joy,""
83,( ◕▿◕ ),joy,""
84,＼(٥⁀▽⁀ )／,joy,""
85,(„• ᴗ •„),joy,""
86,(ᵔ◡ᵔ),joy,""
87,( ´ ▿ ` ),joy,""
88,(ﾉ´ з `)ノ,love,""
89,(♡μ_μ),love,""
90,(*^^*)♡,love,""
91,☆⌒ヽ(*'､^*)chu,love,""
92,(♡-_-♡),love,""
93,(￣ε￣＠),love,""
94,ヽ(♡‿♡)ノ,love,""
95,( ´ ∀ `)ノ～ ♡,love,""
96,(─‿‿─)♡,love,""
97,(´｡• ᵕ •｡`) ♡,love,""
98,(*♡∀♡),love,""
99,(｡・//ε//・｡),love,""
100,(´ ω `♡),love,""
101,♡( ◡‿◡ ),love,""
102,(◕‿◕)♡,love,""
103,(/▽＼*)｡o○♡,love,""
104,(ღ˘⌣˘ღ),love,""
